workerid_director,condition,language,implicit_term,order,target1,target2,target3,distractor1,distractor2,distractor3,distractor4,distractor5,distractor6,clue,question_type
A11CY37O9P73HW,chinese_term,english,å†œäº§å“,1_2,vegetables,soybeans,eggs,chicken wings,candy,monkey,paper,ceramics,fog,Food,
A11CY37O9P73HW,chinese_term,english,ç”µå™¨,1_2,washing machine,computer,lamp,table,sink,salt,waterfall,soda,rain,Machine,
A11CY37O9P73HW,chinese_term,english,å†œäº§å“,1_2,cotton,rice,tomatoes,yogurt,cake,typing,toy blocks,car,clouds,Food n fabric,
A11CY37O9P73HW,english_term,english,beverages,1_2,milk,soda,wine,sesame oil,soy sauce,boat,moon,bark,fog,Drink,
A11CY37O9P73HW,english_term,english,precipitation,1_2,snow,mist,hail,clouds,river,cup,moth,banana,computer,Falling,
A11CY37O9P73HW,chinese_term,english,åŒ–å¦†å“,1_2,eyeshadow,toner,lip balm,soap,bath salts,clouds,desert,kidnapping,pillow,Cosmetic,
A11CY37O9P73HW,english_term,english,crafts,1_2,ceramics,painting,woodworking,photography,ballet,bicycle,flowers,clouds,hail,House making,
A11CY37O9P73HW,chinese_term,english,è°ƒå‘³å“,1_2,vinegar,pepper,salt,baking soda,cream,bear,pen,sewing,drizzle,Food ingredient,
A11CY37O9P73HW,english_term,english,pests,1_2,termites,mice,fleas,hummingbirds,zebras,planet,table,stove,lake,Insects,
A11CY37O9P73HW,english_term,english,drugs,1_2,LSD,alcohol,marijuana,baking soda,vitamins,biscuit,painting,spoon,pillow,Something to relax,
A11CY37O9P73HW,chinese_term,english,ç”µå™¨,1_2,refrigerator,electric fan,phone,blanket,couch,tomatoes,ocean,beer,mountain,Electronic item,
A11CY37O9P73HW,english_term,english,vehicles,1_2,motorcycle,truck,boat,barbie,stuffed animal,popcorn,painting,paper,wine,something we can ride,
A11CY37O9P73HW,english_term,english,snacks,1_2,banana,potato chips,peanuts,bacon,eggplant,deer,notepad,typing,snow,something we can eat except meat and vegetable,
A11CY37O9P73HW,english_term,english,crimes,1_2,theft,arson,harassment,cursing,lying,bulldozer,chair,chips,bear,Doing something bad,
A11CY37O9P73HW,chinese_term,english,å®¶å…·,1_2,trash can,chair,clock,pillow,painting,salt,river,steak,sky,Home basic need product,
A11CY37O9P73HW,english_term,english,snacks,1_2,candy,nuts,fruit,rice,short ribs,walrus,pencil,singing,rain,Some thing we can eat ,
A11CY37O9P73HW,english_term,english,drugs,1_2,heroin,tylenol,tobacco,ammonia,phosphorus,sandwich,sculpture,knife,bed,Something like drugs,
A11CY37O9P73HW,english_term,english,beverages,1_2,water,tea,beer,gasoline,vegetable oil,bus,sun,leaves,drizzle,Something we can drink,
A11CY37O9P73HW,english_term,english,precipitation,1_2,rain,fog,sleet,clouds,pond,bowl,monkey,grapefruit,television,Something that fall from sky,
A11CY37O9P73HW,chinese_term,english,åœ°å½¢,1_2,wetland,plains,hills,ocean,sunset,carrots,assault,paper collage,squirrel,Something related to nature have in solid form,
A11CY37O9P73HW,english_term,english,vehicles,1_2,bus,bulldozer,bicycle,legos,soccer ball,carrots,sculpture,pen,water,Something we can ride,
A11CY37O9P73HW,chinese_term,english,é£Žæ™¯,1_2,garden,ocean,mountain,rain,waves,carrots,barrette,carpentry,spaceship,Natural places,
A11CY37O9P73HW,english_term,english,skills,1_2,accounting,leadership,singing,sleeping,crying,peanuts,coffee,sun,blocks,Human quality,
A11CY37O9P73HW,chinese_term,english,æœé¥°,1_2,hairpin,shoes,skirt,tattoo,conditioner,tomatoes,chair,beer,sun,Accessories,
A11CY37O9P73HW,english_term,english,crimes,1_2,murder,abuse,embezzlement,infidelity,farting,bicycle,desk,cookies,snake,Doing something bad,
A11CY37O9P73HW,chinese_term,english,ç”Ÿç‰©,1_2,rose,frog,virus,lightning,clouds,singing,necklace,chopsticks,coat,Something having cells,
A11CY37O9P73HW,chinese_term,english,è°ƒå‘³å“,1_2,star anise,MSG,chili,almonds,chocolate,train,knife,doll,diamond,Something can be eaten,
A11CY37O9P73HW,chinese_term,english,æœé¥°,1_2,necklace,sandals,dress,contact lenses,lotion,chicken,knife,grass,planet,Accessories,
A11CY37O9P73HW,english_term,english,appetizers,1_2,cheese and crackers,salad,chicken wings,roasted duck,apple,communication,legos,knitting,seeds,Something can be eaten but not fruit or who can swim ,
A11CY37O9P73HW,english_term,english,pests,1_2,cockroaches,rats,raccoons,dolphins,honeybees,star,lamp,chopsticks,sparkling water,Something which have legs,
A11CY37O9P73HW,english_term,english,crafts,1_2,paper collage,drawing,sculpture,theater,opera,bulldozer,tree,sky,sleet,Having artistic skill,
A11CY37O9P73HW,chinese_term,english,åŒ–å¦†å“,1_2,mascara,vaseline,lotion,conditioner,tweezer,mountains,sunset,murder,clock,Thing can be use on face,
A11CY37O9P73HW,chinese_term,english,åœ°å½¢,1_2,swamp,hills,basin,waterfall,sand,stove,ceramics,coat,gorilla,Natural places but not desert or have running water,
A11CY37O9P73HW,chinese_term,english,æ°´åŸŸ,1_2,creek,sea,lake,drizzle,juice,forest,cheese,desk,earrings,Having water element,
A11CY37O9P73HW,english_term,english,skills,1_2,driving,computer coding,writing,grocery shopping,going to a party,apple slices,juice,moon,doll,Something have skill work and a car,
A11CY37O9P73HW,chinese_term,english,ç”Ÿç‰©,1_2,bacteria,microorganism,rabbit,sand,thunder,stove,airplane,spoon,bracelet,It a organism,
A11CY37O9P73HW,chinese_term,english,æ°´åŸŸ,1_2,canal,ocean,river,sleet,wine,plain,tomatoes,tree,stove,Natural element of water,
A11CY37O9P73HW,english_term,english,appetizers,1_2,meatballs,shrimp,soup,mashed potatoes,banana,teamwork,barbie,carpentry,grass,something contain meat and one we can drink,
A11CY37O9P73HW,chinese_term,english,å®¶å…·,1_2,cabinet,carpet,bookcase,blanket,window,tomatoes,sea,mashed potatoes,flowers,something on which we can keep the things and one on which we can stand,
A11CY37O9P73HW,chinese_term,english,é£Žæ™¯,1_2,grassland,starry sky,lake,moon,sand,knife,spoon,paper collage,car,natural places but not desert,
,catch,english,colors,,blue,yellow,red,green,orange,black,purple,pink,white,Just select the word 'purple',catch
,catch,english,planets,,Mercury,Venus,Mars,Neptune,Saturn,Jupiter,Uranus,Pluto,Earth,Just select the word 'Jupiter',catch
,catch,english,sports,,soccer,volleyball,swimming,basketball,baseball,golf,diving,rowing,gymnastics,Just select the word 'baseball',catch
,catch,english,cities,,New York,London,Istanbul,Beijing,Los Angeles,Cairo,Sydney,Rio de Janeiro,Tokyo,Just select the word 'Cairo',catch
,catch,english,countries,,USA,China,Great Britain,Argentina,Germany,Japan,Ethiopia,Australia,Canada,Just select the word 'Canada',catch
